pixel_id,latitude,longitude
11805,-14.0000,-61.5000
11806,-14.0000,-61.2500
11807,-14.0000,-61.0000
11808,-14.0000,-60.7500
11809,-14.0000,-60.5000
11810,-14.0000,-60.2500
11811,-14.0000,-60.0000
11812,-14.0000,-59.7500
11813,-14.0000,-59.5000
11814,-14.0000,-59.2500
11815,-14.0000,-59.0000
11816,-14.0000,-58.7500
11817,-14.0000,-58.5000
11818,-14.0000,-58.2500
11819,-14.0000,-58.0000
11820,-14.0000,-57.7500
11821,-14.0000,-57.5000
11822,-14.0000,-57.2500
11823,-14.0000,-57.0000
11824,-14.0000,-56.7500
11825,-14.0000,-56.5000
11826,-14.0000,-56.2500
11827,-14.0000,-56.0000
11828,-14.0000,-55.7500
11829,-14.0000,-55.5000
11830,-14.0000,-55.2500
11831,-14.0000,-55.0000
11832,-14.0000,-54.7500
11833,-14.0000,-54.5000
11834,-14.0000,-54.2500
11835,-14.0000,-54.0000
11836,-14.0000,-53.7500
11837,-14.0000,-53.5000
11838,-14.0000,-53.2500
11839,-14.0000,-53.0000
11840,-14.0000,-52.7500
11841,-14.0000,-52.5000
11842,-14.0000,-52.2500
11902,-13.7500,-74.7500
11903,-13.7500,-74.5000
11904,-13.7500,-74.2500
11905,-13.7500,-74.0000
11906,-13.7500,-73.7500
11907,-13.7500,-73.5000
11908,-13.7500,-73.2500
11909,-13.7500,-73.0000
11910,-13.7500,-72.7500
11911,-13.7500,-72.5000
11912,-13.7500,-72.2500
11913,-13.7500,-72.0000
11914,-13.7500,-71.7500
11915,-13.7500,-71.5000
11916,-13.7500,-71.2500
11917,-13.7500,-71.0000
11918,-13.7500,-70.7500
11919,-13.7500,-70.5000
11920,-13.7500,-70.2500
11921,-13.7500,-70.0000
11922,-13.7500,-69.7500
11923,-13.7500,-69.5000
11924,-13.7500,-69.2500
11925,-13.7500,-69.0000
11926,-13.7500,-68.7500
11927,-13.7500,-68.5000
11928,-13.7500,-68.2500
11929,-13.7500,-68.0000
11930,-13.7500,-67.7500
11931,-13.7500,-67.5000
11932,-13.7500,-67.2500
11933,-13.7500,-67.0000
11934,-13.7500,-66.7500
11935,-13.7500,-66.5000
11936,-13.7500,-66.2500
11937,-13.7500,-66.0000
11938,-13.7500,-65.7500
11939,-13.7500,-65.5000
11940,-13.7500,-65.2500
11941,-13.7500,-65.0000
11942,-13.7500,-64.7500
11943,-13.7500,-64.5000
11944,-13.7500,-64.2500
11945,-13.7500,-64.0000
11946,-13.7500,-63.7500
11947,-13.7500,-63.5000
11948,-13.7500,-63.2500
11949,-13.7500,-63.0000
11950,-13.7500,-62.7500
11951,-13.7500,-62.5000
11952,-13.7500,-62.2500
11953,-13.7500,-62.0000
11954,-13.7500,-61.7500
11955,-13.7500,-61.5000
